_id,code,name,name_with_type,parent_code,path,path_with_type,slug,type
6580ea829fadc6b60cb85b52,01762,Vũ Minh,Xã Vũ Minh,052,"Vũ Minh, Nguyên Bình, Cao Bằng","Xã Vũ Minh, Huyện Nguyên Bình, Tỉnh Cao Bằng",vu-minh,xa
6580ea829fadc6b60cb85b53,01765,Hoa Thám,Xã Hoa Thám,052,"Hoa Thám, Nguyên Bình, Cao Bằng","Xã Hoa Thám, Huyện Nguyên Bình, Tỉnh Cao Bằng",hoa-tham,xa
6580ea829fadc6b60cb85b55,01771,Quang Thành,Xã Quang Thành,052,"Quang Thành, Nguyên Bình, Cao Bằng","Xã Quang Thành, Huyện Nguyên Bình, Tỉnh Cao Bằng",quang-thanh,xa
6580ea829fadc6b60cb85b56,01774,Tam Kim,Xã Tam Kim,052,"Tam Kim, Nguyên Bình, Cao Bằng","Xã Tam Kim, Huyện Nguyên Bình, Tỉnh Cao Bằng",tam-kim,xa
6580ea829fadc6b60cb85b58,01780,Thịnh Vượng,Xã Thịnh Vượng,052,"Thịnh Vượng, Nguyên Bình, Cao Bằng","Xã Thịnh Vượng, Huyện Nguyên Bình, Tỉnh Cao Bằng",thinh-vuong,xa
6580ea829fadc6b60cb85b5a,01786,Đông Khê,Thị trấn Đông Khê,053,"Đông Khê, Thạch An, Cao Bằng","Thị trấn Đông Khê, Huyện Thạch An, Tỉnh Cao Bằng",dong-khe,thi-tran
6580ea829fadc6b60cb85b5b,01789,Canh Tân,Xã Canh Tân,053,"Canh Tân, Thạch An, Cao Bằng","Xã Canh Tân, Huyện Thạch An, Tỉnh Cao Bằng",canh-tan,xa
6580ea829fadc6b60cb85b5c,01792,Kim Đồng,Xã Kim Đồng,053,"Kim Đồng, Thạch An, Cao Bằng","Xã Kim Đồng, Huyện Thạch An, Tỉnh Cao Bằng",kim-dong,xa
6580ea829fadc6b60cb85b5e,01801,Đức Thông,Xã Đức Thông,053,"Đức Thông, Thạch An, Cao Bằng","Xã Đức Thông, Huyện Thạch An, Tỉnh Cao Bằng",duc-thong,xa
6580ea829fadc6b60cb85b5f,01804,Thái Cường,Xã Thái Cường,053,"Thái Cường, Thạch An, Cao Bằng","Xã Thái Cường, Huyện Thạch An, Tỉnh Cao Bằng",thai-cuong,xa
6580ea829fadc6b60cb85b60,01807,Vân Trình,Xã Vân Trình,053,"Vân Trình, Thạch An, Cao Bằng","Xã Vân Trình, Huyện Thạch An, Tỉnh Cao Bằng",van-trinh,xa
6580ea829fadc6b60cb85b61,01810,Thụy Hùng,Xã Thụy Hùng,053,"Thụy Hùng, Thạch An, Cao Bằng","Xã Thụy Hùng, Huyện Thạch An, Tỉnh Cao Bằng",thuy-hung,xa
6580ea829fadc6b60cb85b62,01813,Quang Trọng,Xã Quang Trọng,053,"Quang Trọng, Thạch An, Cao Bằng","Xã Quang Trọng, Huyện Thạch An, Tỉnh Cao Bằng",quang-trong,xa
6580ea829fadc6b60cb85b63,01816,Trọng Con,Xã Trọng Con,053,"Trọng Con, Thạch An, Cao Bằng","Xã Trọng Con, Huyện Thạch An, Tỉnh Cao Bằng",trong-con,xa
6580ea829fadc6b60cb85b64,01819,Lê Lai,Xã Lê Lai,053,"Lê Lai, Thạch An, Cao Bằng","Xã Lê Lai, Huyện Thạch An, Tỉnh Cao Bằng",le-lai,xa
6580ea829fadc6b60cb85b66,01828,Lê Lợi,Xã Lê Lợi,053,"Lê Lợi, Thạch An, Cao Bằng","Xã Lê Lợi, Huyện Thạch An, Tỉnh Cao Bằng",le-loi,xa
6580ea829fadc6b60cb85b68,01834,Nguyễn Thị Minh Khai,Phường Nguyễn Thị Minh Khai,058,"Nguyễn Thị Minh Khai, Bắc Kạn, Bắc Kạn","Phường Nguyễn Thị Minh Khai, Thành Phố Bắc Kạn, Tỉnh Bắc Kạn",nguyen-thi-minh-khai,phuong
6580ea829fadc6b60cb85b69,01837,Sông Cầu,Phường Sông Cầu,058,"Sông Cầu, Bắc Kạn, Bắc Kạn","Phường Sông Cầu, Thành Phố Bắc Kạn, Tỉnh Bắc Kạn",song-cau,phuong
6580ea829fadc6b60cb85b6b,01843,Phùng Chí Kiên,Phường Phùng Chí Kiên,058,"Phùng Chí Kiên, Bắc Kạn, Bắc Kạn","Phường Phùng Chí Kiên, Thành Phố Bắc Kạn, Tỉnh Bắc Kạn",phung-chi-kien,phuong
6580ea829fadc6b60cb85b6c,01846,Huyền Tụng,Phường Huyền Tụng,058,"Huyền Tụng, Bắc Kạn, Bắc Kạn","Phường Huyền Tụng, Thành Phố Bắc Kạn, Tỉnh Bắc Kạn",huyen-tung,phuong
6580ea829fadc6b60cb85b6e,01852,Nông Thượng,Xã Nông Thượng,058,"Nông Thượng, Bắc Kạn, Bắc Kạn","Xã Nông Thượng, Thành Phố Bắc Kạn, Tỉnh Bắc Kạn",nong-thuong,xa
